2.6	1360	150	11.9	1046	166
2	1292	112	9.4	955	103
2.2	1402	88	9.0	939	131
2.2	1376	80	9.2	948	172
1.6	1272	51	6.5	836	131
1.2	1197	38	4.7	750	89
1.2	1185	31	3.6	690	62
1	1136	31	3.3	672	62
0.9	1094	24	2.3	609	45
0.6	1010	19	1.7	561	-200
-200	1011	14	1.3	527	21
0.7	1066	8	1.1	512	16
0.7	1052	16	1.6	553	34
1.1	1144	29	3.2	667	98
2	1333	64	8.0	900	174
2.2	1351	87	9.5	960	129
1.7	1233	77	6.3	827	112
1.5	1179	43	5.0	762	95
1.6	1236	61	5.2	774	104
1.9	1286	63	7.3	869	146
2.9	1371	164	11.5	1034	207
2.2	1310	79	8.8	933	184
2.2	1292	95	8.3	912	193
2.9	1383	150	11.2	1020	243
4.8	1581	307	20.8	1319	281
6.9	1776	461	27.4	1488	383
6.1	1640	401	24.0	1404	351
3.9	1313	197	12.8	1076	240
1.5	965	61	4.7	749	94
1	913	26	2.6	629	47
1.7	1080	55	5.9	805	122
1.9	1044	53	6.4	829	133
1.4	988	40	4.1	718	82
0.8	889	21	1.9	574	-200
-200	831	10	1.1	506	21
0.6	847	7	1.0	501	30
0.8	927	17	1.8	571	56
1.4	1091	33	4.4	730	109
4.4	1587	202	17.9	1236	307
