	38.50	54		1
	37.60	48		1
	37.7	44		1
	37	    56		0
	38.00	42		1
	0	    60		1
	38.40	80		1
	37.80	48		1
	37.90	45		1
	39.00	84		0
	38.20	60		1
	0	   140		0
	37.90	120		0
	38.00	72		1
	38.00	92		1
	38.30	66		1
	37.50	48		1
	37.50	88		0
	0	   150		0
	39.7	100		0
	38.30	80		1
	37.50	40		1
	38.40	84		0
	38.10	84		0
	38.70	52		1
	38.10	44		1
	38.4	52		1
	38.20	60		1
	37.70	40		1
	39.1	60		1
	37.80	48		1
	39.00	120		1
	38.20	76		1
	38.30	88		0
	38.00	80		1
	0		0		0
	37.60	40		1
	37.50	44		1
	38.2	42		1
	38	    56		1
	38.30	45		1
	0	    48		1
	37.70	55		1
	36.00	100		0
	37.10	60		1
	37.10	114		1
	38.1	72		1
	37.00	44		1
	38.6	48		1
	0	    82		0
	38.20	78		0
	37.8	60		0
	38.7	34		0
	0	    36		1
	38.30	44		1
	37.40	54		1
	0	0	0		1
	36.6	48		0
	38.5	90		1
	0	    75		1
	38.20	42		1
	38.20	78		0
	38.60	60		1
	37.80	42		1
	38	    60		0
	38.00	42		1
	37.60	88		0
